"Authors","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Author Keywords","Index Keywords","Correspondence Address","Document Type","Publication Stage","Access Type","Source","EID","SubEvidence","Evidence"
"Koz A.","8392498200;","Ground-Based Hyperspectral Image Surveillance Systems for Explosive Detection: Part I-State of the Art and Challenges",2019,"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","12","12","8976430","4746","4753",NA,NA,"10.1109/JSTARS.2019.2957484","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079359059&doi=10.1109%2fJSTARS.2019.2957484&partnerID=40&md5=8add18e2201217b18c361c062e11f3c1","Center for Image Analysis, Middle East Technical University, Ankara, 06800, Turkey","Koz, A., Center for Image Analysis, Middle East Technical University, Ankara, 06800, Turkey","Explosive detection; hyperspectral image surveillance and reconnaissance; incident light; spectral registration; Spectralon; Teflon; white reference","Explosives; Hyperspectral imaging; Infrared radiation; Light sources; Monitoring; Polytetrafluoroethylenes; Security systems; Spectroscopy; Explosive Detection; Incident light; spectral registration; Spectralon; white reference; Explosives detection; algorithm; ground-based measurement; image analysis; image processing; imaging method; remote sensing","Koz, A.; Center for Image Analysis, Middle East Technical UniversityTurkey; email: koz@metu.edu.tr","Article","Final","","Scopus","2-s2.0-85079359059","Explosive Scene","Explosive"
"Koz A.","8392498200;","Ground-Based Hyperspectral Image Surveillance Systems for Explosive Detection: Part II-Radiance to Reflectance Conversions",2019,"IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","12","12","8970296","4754","4765",NA,1,"10.1109/JSTARS.2020.2964483","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079357152&doi=10.1109%2fJSTARS.2020.2964483&partnerID=40&md5=e1788aae25b4d9512d0136c51e464149","Center for Image Analysis, Middle East Technical University, Ankara, 06800, Turkey","Koz, A., Center for Image Analysis, Middle East Technical University, Ankara, 06800, Turkey","Explosive detection; hyperspectral image surveillance (HSI); incident light; radiance to reflectance conversion; Spectralon; teflon; white reference","Explosives; Hyperspectral imaging; Infrared radiation; Monitoring; Polytetrafluoroethylenes; Reflection; Security systems; Spectroscopy; Trace analysis; Explosive Detection; Explosive trace detections; Image surveillances; Incident light; Short wave infrared; Spectralon; Surveillance systems; white reference; Explosives detection; detection method; explosion; image processing","Koz, A.; Center for Image Analysis, Middle East Technical UniversityTurkey; email: koz@metu.edu.tr","Article","Final","","Scopus","2-s2.0-85079357152","Explosive Scene","Explosive"
"Pintabona L., Astefanei A., Corthals G.L., van Asten A.C.","57211646824;55191324400;35447825100;56099430100;","Utilizing Surface Acoustic Wave Nebulization (SAWN) for the Rapid and Sensitive Ambient Ionization Mass Spectrometric Analysis of Organic Explosives",2019,"Journal of the American Society for Mass Spectrometry","30","12","","2655","2669",NA,1,"10.1007/s13361-019-02335-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074730280&doi=10.1007%2fs13361-019-02335-y&partnerID=40&md5=3b75f5d5c8ba2ad1139bdfe4eaedf300","van ‘t Hoff Institute for Molecular Sciences, Faculty of Science, University of Amsterdam, PO Box 94157, Amsterdam, 1090 GD, Netherlands; CLHC, Amsterdam Center for Forensic Science and Medicine, University of Amsterdam, P.O. Box 94157, Amsterdam, 1090 GD, Netherlands","Pintabona, L., van ‘t Hoff Institute for Molecular Sciences, Faculty of Science, University of Amsterdam, PO Box 94157, Amsterdam, 1090 GD, Netherlands; Astefanei, A., van ‘t Hoff Institute for Molecular Sciences, Faculty of Science, University of Amsterdam, PO Box 94157, Amsterdam, 1090 GD, Netherlands; Corthals, G.L., van ‘t Hoff Institute for Molecular Sciences, Faculty of Science, University of Amsterdam, PO Box 94157, Amsterdam, 1090 GD, Netherlands; van Asten, A.C., van ‘t Hoff Institute for Molecular Sciences, Faculty of Science, University of Amsterdam, PO Box 94157, Amsterdam, 1090 GD, Netherlands, CLHC, Amsterdam Center for Forensic Science and Medicine, University of Amsterdam, P.O. Box 94157, Amsterdam, 1090 GD, Netherlands","Ambient ionization mass spectrometry; Explosives; Forensic science; SAWN; Security; Surface acoustic wave nebulization","Acoustic surface wave devices; Acoustic waves; Explosives; Forensic science; Ionization of gases; Ionization potential; Mass spectrometers; Mass spectrometry; Nitrates; Oxidation; Peroxides; Ambient ionizations; Chemical identification; Incident investigation; Mass spectrometric analysis; Portable mass spectrometry; SAWN; Security; Surface acoustic waves; Explosives detection; ammonium acetate; ammonium hydroxide; benzoic acid; explosive; formic acid; hexamethylene triperoxide diamine; nitrate; nitro derivative; organic solvent; peroxide; triacetone triperoxide; unclassified drug; aqueous solution; Article; chemical structure; controlled study; dilution; electrospray mass spectrometry; explosion; fragmentation reaction; limit of detection; liquid chromatography-mass spectrometry; molecular weight; nebulization; negative ion electrospray; noise; surface acoustic wave nebulization","Corthals, G.L.; van ‘t Hoff Institute for Molecular Sciences, Faculty of Science, University of Amsterdam, PO Box 94157, Netherlands; email: g.l.corthals@uva.nl","Article","Final","Open Access","Scopus","2-s2.0-85074730280","Explosive Scene","Explosive"
"Anderson J.M.M., Ode O., Ndoye M., Mair B.","57203289037;56102748200;23492982700;7004568331;","MAP image reconstruction for landmine and IED detection using ground penetrating radar",2019,"International Journal of Remote Sensing","40","22","","8298","8321",NA,1,"10.1080/01431161.2019.1608385","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065244480&doi=10.1080%2f01431161.2019.1608385&partnerID=40&md5=dd820aee7809397c6502ee376e2e6e4a","Department of Electrical Engineering and Computer Science, Howard University, Washington, DC, United States; Department of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, United States; Department of Electrical and Computer Engineering, Tuskegee University, Tuskegee, AL, United States; Academic Affairs, Association of Public & Land-grant Universities, Washington, DC, United States","Anderson, J.M.M., Department of Electrical Engineering and Computer Science, Howard University, Washington, DC, United States; Ode, O., Department of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, United States; Ndoye, M., Department of Electrical and Computer Engineering, Tuskegee University, Tuskegee, AL, United States; Mair, B., Academic Affairs, Association of Public & Land-grant Universities, Washington, DC, United States","","Bombs (ordnance); Butterworth filters; Electromagnetic waves; Explosives; Explosives detection; Geological surveys; Geophysical prospecting; Image enhancement; Image reconstruction; Iterative methods; Landmine detection; Low pass filters; Parameter estimation; Probability density function; Radar imaging; Research laboratories; Tracking radar; Detection algorithm; Ground Penetrating Radar; Ground penetrating radar (GPR); Improvised explosive devices; Iterative maximum a posteriori; Mathematical tractability; Uniform distribution; User-defined parameters; Ground penetrating radar systems; algorithm; estimation method; ground penetrating radar; image processing; landmine; probability density function; remote sensing; satellite imagery","Anderson, J.M.M.; Department of Electrical Engineering and Computer Science, Howard UniversityUnited States; email: j_m_anderson@howard.edu","Article","Final","","Scopus","2-s2.0-85065244480","Explosive Scene","Explosive"
"Castro S.V.F., Cardoso R.M., Santana M.H.P., Richter E.M., Munoz R.A.A.","57201975138;56730121600;57189464792;13309480600;7202035961;","Graphite sheet as a novel material for the collection and electrochemical sensing of explosive residues",2019,"Talanta","203","","","106","111",NA,7,"10.1016/j.talanta.2019.05.048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065705330&doi=10.1016%2fj.talanta.2019.05.048&partnerID=40&md5=31657620b390119ef6a02ea36d961841","Federal University of Uberlândia, Institute of Chemistry, Uberlândia, MG  38400-902, Brazil; Unidade Técnico-Científica, Superintendência Regional Do Departamento de Polícia Federal Em MG, Uberlândia, MG  38408-680, Brazil","Castro, S.V.F., Federal University of Uberlândia, Institute of Chemistry, Uberlândia, MG  38400-902, Brazil; Cardoso, R.M., Federal University of Uberlândia, Institute of Chemistry, Uberlândia, MG  38400-902, Brazil; Santana, M.H.P., Unidade Técnico-Científica, Superintendência Regional Do Departamento de Polícia Federal Em MG, Uberlândia, MG  38408-680, Brazil; Richter, E.M., Federal University of Uberlândia, Institute of Chemistry, Uberlândia, MG  38400-902, Brazil; Munoz, R.A.A., Federal University of Uberlândia, Institute of Chemistry, Uberlândia, MG  38400-902, Brazil","Explosive; Forensics; Residues; Security; Swab; TNT","Chlorine compounds; Electrochemical sensors; Electrolytes; Explosives; Graphite; Sheet metal; Voltammetry; 2 ,4 ,6-trinitrotoluene; Crime scene investigations; Electrochemical sensing; Forensics; Residues; Security; Square wave voltammetry; Swab; Explosives detection","Munoz, R.A.A.; Federal University of Uberlândia, Institute of ChemistryBrazil; email: munoz@ufu.br","Article","Final","","Scopus","2-s2.0-85065705330","Explosive Scene","Explosive"
"Showstark M.","8875022700;","Bombs and Blasts",2019,"Physician Assistant Clinics","4","4","","751","760",NA,NA,"10.1016/j.cpha.2019.06.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071224655&doi=10.1016%2fj.cpha.2019.06.011&partnerID=40&md5=ea5aabc99901a02b94a3b1263b26a9e5","Yale School of Medicine Physician Assistant Online Program, 100 Church Street South, Suite A230, New Haven, CT  06519, United States","Showstark, M., Yale School of Medicine Physician Assistant Online Program, 100 Church Street South, Suite A230, New Haven, CT  06519, United States","Blasts; Bombs; Disaster; Mass casualty; Trauma","","","Review","Final","","Scopus","2-s2.0-85071224655","Explosive Scene","Explosive"
"Zhou B., Yang H.","57214781346;7406555539;","Rendering Scheduling Framework in Edge Computing: A Congestion Game-based Approach",2019,"2019 IEEE 38th International Performance Computing and Communications Conference, IPCCC 2019","","","8958762","","",NA,NA,"10.1109/IPCCC47392.2019.8958762","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079093781&doi=10.1109%2fIPCCC47392.2019.8958762&partnerID=40&md5=17ed9796e30718a057ab4ebb4604c678","Sun Yat-sen University, School of Data and Computer Science, Guangzhou, China; Guangdong Province Key Laboratory of Computational Science, Sun Yat-sen University, Guangzhou, China","Zhou, B., Sun Yat-sen University, School of Data and Computer Science, Guangzhou, China, Guangdong Province Key Laboratory of Computational Science, Sun Yat-sen University, Guangzhou, China; Yang, H., Sun Yat-sen University, School of Data and Computer Science, Guangzhou, China, Guangdong Province Key Laboratory of Computational Science, Sun Yat-sen University, Guangzhou, China","congestion game; edge computing; Rendering scheduling; workload estimation","Edge computing; Scheduling; Scheduling algorithms; Computation-intensive task; Computing resource; Congestion Games; Explosive growth; Extensive simulations; Nash equilibria; Scheduling frameworks; Scheduling problem; Computer games","","Conference Paper","Final","","Scopus","2-s2.0-85079093781","Explosive Scene","Explosive"
"Tan J., Chen L., Du L., Li J., Zhang X.","57215771985;57195385636;57217277932;57196156585;56245909000;","BVMSOD: Bionic vision mechanism based salient object detection",2019,"2019 IEEE International Conference on Cyborg and Bionic Systems, CBS 2019","","","9114522","335","339",NA,NA,"10.1109/CBS46900.2019.9114522","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089541651&doi=10.1109%2fCBS46900.2019.9114522&partnerID=40&md5=159518ba9d3b45b7c5542e73428718c8","Bionic Vision System Laboratory, State Key Laboratory of Transducer Technology, Shanghai Institute of Microsystem and Information Technology, Chinese Academy of Sciences, Shanghai, China; University of Chinese Academy of Sciences, Beijing, China; Institute of Science and Technology for Brain-Inspired Intelligence, Fudan University, China","Tan, J., Bionic Vision System Laboratory, State Key Laboratory of Transducer Technology, Shanghai Institute of Microsystem and Information Technology, Chinese Academy of Sciences, Shanghai, China, University of Chinese Academy of Sciences, Beijing, China; Chen, L., Bionic Vision System Laboratory, State Key Laboratory of Transducer Technology, Shanghai Institute of Microsystem and Information Technology, Chinese Academy of Sciences, Shanghai, China, University of Chinese Academy of Sciences, Beijing, China; Du, L., Institute of Science and Technology for Brain-Inspired Intelligence, Fudan University, China; Li, J., Bionic Vision System Laboratory, State Key Laboratory of Transducer Technology, Shanghai Institute of Microsystem and Information Technology, Chinese Academy of Sciences, Shanghai, China, University of Chinese Academy of Sciences, Beijing, China; Zhang, X., Bionic Vision System Laboratory, State Key Laboratory of Transducer Technology, Shanghai Institute of Microsystem and Information Technology, Chinese Academy of Sciences, Shanghai, China, University of Chinese Academy of Sciences, Beijing, China, Institute of Science and Technology for Brain-Inspired Intelligence, Fudan University, China","","Binocular vision; Bionics; Convolutional neural networks; Cyborgs; Deep learning; Electric circuit breakers; Explosives detection; Learning systems; Object recognition; Brain-inspired; Human vision; Human visual; Learning methods; Mechanism-based; Salient object detection; Short connections; Object detection","","Conference Paper","Final","","Scopus","2-s2.0-85089541651","Explosive Scene","Explosive"
"Trtík T., Chylík R., Fládr J., Štoller J., Broukalová I.","57197716403;57197707257;56337082600;56725192900;55615898500;","Methods of lighting of concrete structures for high-speed camera measurement",2019,"IOP Conference Series: Materials Science and Engineering","596","1","012041","","",NA,NA,"10.1088/1757-899X/596/1/012041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072068160&doi=10.1088%2f1757-899X%2f596%2f1%2f012041&partnerID=40&md5=1275b8fa349312ba8e734aecb240daf6","Faculty of Civil Engineering, Czech Technical University in Prague, Thákurova 7, Praha 6, 166 29, Czech Republic; University of Defence, Kounicova 65, Brno, 662 10, Czech Republic","Trtík, T., Faculty of Civil Engineering, Czech Technical University in Prague, Thákurova 7, Praha 6, 166 29, Czech Republic; Chylík, R., Faculty of Civil Engineering, Czech Technical University in Prague, Thákurova 7, Praha 6, 166 29, Czech Republic; Fládr, J., Faculty of Civil Engineering, Czech Technical University in Prague, Thákurova 7, Praha 6, 166 29, Czech Republic; Štoller, J., University of Defence, Kounicova 65, Brno, 662 10, Czech Republic; Broukalová, I., Faculty of Civil Engineering, Czech Technical University in Prague, Thákurova 7, Praha 6, 166 29, Czech Republic","","Concrete buildings; Concrete slabs; Detonation; Lighting; Precast concrete; Aluminium powder; Concrete panels; High speed cameras","","Conference Paper","Final","Open Access","Scopus","2-s2.0-85072068160","Explosive Scene","Explosive"
"Cardoso R.M., Castro S.V.F., Silva M.N.T., Lima A.P., Santana M.H.P., Nossol E., Silva R.A.B., Richter E.M., Paixão T.R.L.C., Muñoz R.A.A.","56730121600;57201975138;57195231862;57203423554;57189464792;24597822100;35387683300;13309480600;6506102243;7202035961;","3D-printed flexible device combining sampling and detection of explosives",2019,"Sensors and Actuators, B: Chemical","292","","","308","313",NA,22,"10.1016/j.snb.2019.04.126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065106547&doi=10.1016%2fj.snb.2019.04.126&partnerID=40&md5=942ef581605db884536debf0148a922e","Instituto de Química, Universidade Federal de Uberlândia, Uberlândia, MG  38408-100, Brazil; Unidade Técnico-Científica, Superintendência Regional do Departamento de Polícia Federal em MG, Uberlândia, MG  38408-680, Brazil; Instituto de Química, Universidade de São Paulo, São Paulo SP, 05508-00, Brazil","Cardoso, R.M., Instituto de Química, Universidade Federal de Uberlândia, Uberlândia, MG  38408-100, Brazil; Castro, S.V.F., Instituto de Química, Universidade Federal de Uberlândia, Uberlândia, MG  38408-100, Brazil; Silva, M.N.T., Instituto de Química, Universidade Federal de Uberlândia, Uberlândia, MG  38408-100, Brazil; Lima, A.P., Instituto de Química, Universidade Federal de Uberlândia, Uberlândia, MG  38408-100, Brazil; Santana, M.H.P., Unidade Técnico-Científica, Superintendência Regional do Departamento de Polícia Federal em MG, Uberlândia, MG  38408-680, Brazil; Nossol, E., Instituto de Química, Universidade Federal de Uberlândia, Uberlândia, MG  38408-100, Brazil; Silva, R.A.B., Instituto de Química, Universidade Federal de Uberlândia, Uberlândia, MG  38408-100, Brazil; Richter, E.M., Instituto de Química, Universidade Federal de Uberlândia, Uberlândia, MG  38408-100, Brazil; Paixão, T.R.L.C., Instituto de Química, Universidade de São Paulo, São Paulo SP, 05508-00, Brazil; Muñoz, R.A.A., Instituto de Química, Universidade Federal de Uberlândia, Uberlândia, MG  38408-100, Brazil","3D-Printed sensor; Forensic; Fused deposition modelling; Graphene; Stripping metals; TNT","3D modeling; Chlorine compounds; Deposition; Electrodes; Electrolytes; Explosives; Explosives detection; Fused Deposition Modeling; Graphene; Nanoribbons; Voltammetry; 2 ,4 ,6-trinitrotoluene; Crime scene investigations; Detection of explosives; Electrochemical sensing; Forensic; Fused deposition modelling; Printed sensors; Square wave voltammetry; 3D printers","Muñoz, R.A.A.; Instituto de Química, Universidade Federal de UberlândiaBrazil; email: munoz@ufu.br","Article","Final","","Scopus","2-s2.0-85065106547","Explosive Scene","Explosive"
